country,changes_in_happiness_scores,whisker_high,whisker_low,column_e,figure_2_3_changes_in_happiness_from_2005_2007_to_2014_2016
Nicaragua,1.3642287254333496,1.554066481590271,1.1743909692764283,,
Latvia,1.162330150604248,1.2654062758386135,1.0592540253698826,,
Sierra Leone,1.1027495861053467,1.2778135666251182,0.9276856055855751,,
Ecuador,0.9983501434326172,1.1415031424164772,0.8551971444487572,,
Moldova,0.8988165855407715,1.012291663736105,0.785341507345438,,
Bulgaria,0.8698585033416748,1.029686022400856,0.7100309842824936,,
Russia,0.8450837135314941,0.939629977941513,0.7505374491214752,,
Slovakia,0.8328585624694824,0.9862211993336678,0.679495925605297,,
Chile,0.7730355262756348,0.9207656890153885,0.6253053635358811,,
Uzbekistan,0.7390346527099609,0.8969842228293419,0.58108508259058,,
Uruguay,0.7137832641601562,0.8471184566617012,0.5804480716586113,,
Peru,0.7019209861755371,0.8575245475769043,0.5463174247741699,,
Macedonia,0.6812348365783691,0.8696056345105171,0.4928640386462212,,
Serbia,0.644737720489502,0.808304460644722,0.48117098033428196,,
Romania,0.6061172485351562,0.7592786103487015,0.452955886721611,,
Cameroon,0.5953555107116699,0.7353343716263772,0.45537664979696274,,
Georgia,0.594857931137085,0.7187790355086326,0.4709368267655373,,
Azerbaijan,0.5841922760009766,0.6832853077352047,0.48509924426674844,,
Thailand,0.5812602043151855,0.6952613313496113,0.4672590772807598,,
Philippines,0.5762596130371094,0.75733079880476,0.3951884272694588,,
China,0.5524258613586426,0.6269811600446701,0.4778705626726151,,
Tajikistan,0.5192890167236328,0.625569939315319,0.41300809413194656,,
El Salvador,0.5065536499023438,0.6528254118561745,0.360281887948513,,
Paraguay,0.4910898208618164,0.6262908709049224,0.35588877081871034,,
Germany,0.44217967987060547,0.5415780413150787,0.3427813184261322,,
Argentina,0.4057769775390625,0.5354337272047996,0.27612022787332535,,
Mongolia,0.34577417373657227,0.48530544847249985,0.20624289900064469,,
Palestinian Territories,0.3418154716491699,0.49769198030233386,0.185938962996006,,
Guatemala,0.3407273292541504,0.4917559027671814,0.18969875574111938,,
Trinidad and Tobago,0.33551836013793945,0.6469620245695114,0.0240746957063675,,
Kyrgyzstan,0.33410120010375977,0.44996210977435114,0.2182402904331684,,
Benin,0.32698512077331543,0.4679818788170814,0.1859883627295494,,
Turkey,0.3265199661254883,0.47026306331157686,0.18277686893939973,,
Bolivia,0.3227415084838867,0.4482955211400986,0.19718749582767486,,
Zimbabwe,0.3207862377166748,0.4885076874494553,0.15306478798389436,,
Cambodia,0.30591559410095215,0.44108419597148896,0.17074699223041534,,
Nepal,0.3040165901184082,0.439810074865818,0.16822310537099838,,
South Korea,0.29872989654541016,0.47454583644866943,0.12291395664215088,,
Togo,0.2922201156616211,0.4408122286200523,0.14362800270318984,,
Bosnia and Herzegovina,0.28256797790527344,0.4371794605255127,0.1279564952850342,,
Colombia,0.2753300666809082,0.42263859301805495,0.12802154034376145,,
Nigeria,0.27345752716064453,0.43455995857715607,0.112355095744133,,
Estonia,0.25995302200317383,0.3683882287144661,0.15151781529188157,,
Hungary,0.2487034797668457,0.3860229486227036,0.11138401091098785,,
Indonesia,0.2434678077697754,0.36286336317658424,0.12407225236296654,,
Poland,0.23616600036621094,0.3918895265460014,0.08044247418642045,,
Taiwan,0.23338985443115234,0.3982652693986892,0.06851443946361543,,
Kazakhstan,0.2215723991394043,0.34699869275093076,0.0961461055278778,,
Israel,0.2044668197631836,0.322217448502779,0.08671619102358818,,
Mali,0.1760730743408203,0.30987302631139757,0.04227312237024308,,
Kosovo,0.17511558532714844,0.3418033811450004,0.00842778950929643,,
Brazil,0.1570429801940918,0.29849049329757693,0.01559546709060669,,
Lebanon,0.15448331832885742,0.2980739879608154,0.010892648696899404,,
Kenya,0.15320158004760742,0.2880306005477905,0.01837255954742431,,
Chad,0.14845633506774902,0.2888508743047714,0.008061795830726637,,
Dominican Republic,0.14501047134399414,0.3330687621235847,-0.04304781943559646,,
Mauritania,0.1433568000793457,0.2952572977542877,-0.008543697595596311,,
Czech Republic,0.13805294036865234,0.26051384046673776,0.015592040270566945,,
Bangladesh,0.13540124893188477,0.2521029123663902,0.01869958549737931,,
Burkina Faso,0.12244272232055664,0.23624526858329772,0.008640176057815557,,
Norway,0.12139606475830078,0.27554039299488065,-0.03274826347827911,,
Zambia,0.09961414337158203,0.27475646972656254,-0.07552818298339845,,
Sri Lanka,0.06116485595703125,0.2080042564868927,-0.08567454457283019,,
Montenegro,0.04092073440551758,0.28848186194896697,-0.2066403931379318,,
Kuwait,0.02942180633544922,0.17233540147542953,-0.11349178880453109,,
Niger,0.02851390838623047,0.14750411719083786,-0.09047630041837693,,
Mexico,0.024829864501953125,0.17126312255859374,-0.1216033935546875,,
Switzerland,0.02111339569091797,0.14991073608398436,-0.10768394470214843,,
Lithuania,0.019613265991210938,0.13711038425564764,-0.09788385227322578,,
Albania,0.009903430938720703,0.18489424973726273,-0.16508738785982133,,
Senegal,-0.012484550476074219,0.09021959632635117,-0.1151886972784996,,
Uganda,-0.014590740203857422,0.1380720266699791,-0.16725350707769393,,
Sweden,-0.025028228759765625,0.07032934948801994,-0.1203858070075512,,
Australia,-0.026430130004882812,0.08074653446674347,-0.13360679447650908,,
Hong Kong,-0.0396575927734375,0.12763513803482054,-0.20695032358169554,,
Slovenia,-0.053040504455566406,0.12190383255481721,-0.22798484146595002,,
Malaysia,-0.0532684326171875,0.06886510163545609,-0.1754019668698311,,
Panama,-0.05855703353881836,0.09570131599903106,-0.21281538307666778,,
Honduras,-0.0650033950805664,0.1073814207315445,-0.2373882108926773,,
Singapore,-0.06783246994018555,0.03250963389873504,-0.16817457377910613,,
Belarus,-0.06787395477294922,0.04180479675531387,-0.1775527063012123,,
Netherlands,-0.08098506927490234,0.021050085872411722,-0.1830202244222164,,
United Arab Emirates,-0.08618974685668945,0.05208034247159957,-0.22445983618497847,,
Austria,-0.11603546142578125,0.02505217194557191,-0.2571230947971344,,
New Zealand,-0.11763572692871094,0.009101651012897477,-0.24437310487031935,,
Canada,-0.12888765335083008,-0.013480485081672669,-0.2442948216199875,,
Haiti,-0.15116143226623535,0.05738774806261063,-0.3597106125950813,,
Mozambique,-0.16278076171875,0.07546790093183517,-0.4010294243693352,,
Ireland,-0.16730022430419922,-0.004657161831855772,-0.32994328677654267,,
Liberia,-0.16865801811218262,0.011958718001842505,-0.34927475422620774,,
United Kingdom,-0.17207622528076172,-0.06210048243403435,-0.2820519681274891,,
Costa Rica,-0.17839527130126953,-0.047090893387794486,-0.3096996492147446,,
Finland,-0.2032461166381836,-0.0930750860273838,-0.3134171472489834,,
Armenia,-0.20997142791748047,-0.08277264922857286,-0.3371702066063881,,
Portugal,-0.21006441116333008,-0.005361303091049208,-0.41476751923561095,,
Pakistan,-0.23687076568603516,-0.08682077765464782,-0.3869207537174225,,
Vietnam,-0.2853069305419922,-0.1791132616996765,-0.39150059938430787,,
Namibia,-0.3115959167480469,-0.09065547734498977,-0.532536356151104,,
South Africa,-0.31552839279174805,-0.168518588244915,-0.4625381973385811,,
Madagascar,-0.3359251022338867,-0.21235622555017472,-0.4594939789175987,,
Belgium,-0.3493790626525879,-0.24841217815876007,-0.45034594714641574,,
France,-0.37154293060302734,-0.25937312468886375,-0.48371273651719093,,
United States,-0.37167882919311523,-0.237540902197361,-0.5058167561888695,,
Malawi,-0.39125609397888184,-0.23487732499837877,-0.5476348629593849,,
Denmark,-0.404449462890625,-0.3109656643867493,-0.4979332613945007,,
Japan,-0.4471282958984375,-0.3372368423640728,-0.5570197494328022,,
